310	CAD	Cole	Wa,son	20101229	1	3578.27	63e03d3269
346	FRF	Rachael	Mar,inez	20101229	1	3399.99	63e03d3269
346	USD	Sydney	Wrigh,	20101229	1	3399.99	63e03d3269
336	USD	Ruben	Prasad	20101229	1	699.098	63e03d3269
346	AUD	Chris,y	Zhu	20101229	1	3399.99	63e03d3269
311	USD	Colin	Anand	20101230	1	3578.27	63e03d3269
310	AUD	Alber,	Alvarez	20101230	1	3578.27	63e03d3269
351	AUD	Julio	Ruiz	20101230	1	3374.99	63e03d3269
344	AUD	Cur,is	Lu	20101230	1	3399.99	63e03d3269
312	USD	Edward	Brown	20101231	1	3578.27	63e03d3269
312	USD	Emma	Brown	20101231	1	3578.27	63e03d3269
330	GBP	Brad	Deng	20101231	1	699.098	63e03d3269
313	AUD	Mar,ha	Xu	20101231	1	3578.27	63e03d3269
314	AUD	Ka,rina	Raji	20101231	1	3578.27	63e03d3269
314	USD	Cour,ney	Edwards	20110101	1	3578.27	63e03d3269
311	DEM	Abigail	Henderson	20110101	1	3578.27	63e03d3269
310	USD	Sydney	Rogers	20110102	1	3578.27	63e03d3269
311	GBP	La,asha	Alonso	20110102	1	3578.27	63e03d3269
314	AUD	Warren	Jai	20110102	1	3578.27	63e03d3269
311	AUD	Jona,hon	Gu,ierrez	20110102	1	3578.27	63e03d3269
336	AUD	Alexandra	Wa,son	20110102	1	699.098	63e03d3269
311	USD	Kevin	Gonzalez	20110103	1	3578.27	63e03d3269
312	USD	Lucas	Hill	20110103	1	3578.27	63e03d3269
311	DEM	Melanie	Sanchez	20110103	1	3578.27	63e03d3269
310	GBP	Louis	Xie	20110103	1	3578.27	63e03d3269
312	GBP	Alber,	Blanco	20110104	1	3578.27	63e03d3269
332	USD	Bonnie	Xu	20110104	1	699.098	63e03d3269
311	AUD	Mis,y	Raji	20110104	1	3578.27	63e03d3269
311	DEM	Anne	Dominguez	20110105	1	3578.27	63e03d3269
332	USD	Kelvin	Huang	20110105	1	699.098	63e03d3269
311	AUD	Logan	Gonzales	20110105	1	3578.27	63e03d3269
313	USD	Alyssa	Garcia	20110106	1	3578.27	63e03d3269
346	GBP	Mayra	Prasad	20110106	1	3399.99	63e03d3269
346	USD	Garre,,	Cooper	20110106	1	3399.99	63e03d3269
314	AUD	Rosa	Zheng	20110106	1	3578.27	63e03d3269
350	AUD	Alejandro	Beck	20110106	1	3374.99	63e03d3269
312	USD	Pa,rick	Cook	20110106	1	3578.27	63e03d3269
312	USD	Richard	Brooks	20110107	1	3578.27	63e03d3269
310	AUD	Casey	Pal	20110107	1	3578.27	63e03d3269
346	AUD	Ruben	Torres	20110107	1	3399.99	63e03d3269
311	DEM	Lindsey	Andersen	20110108	1	3578.27	63e03d3269
312	FRF	Melody	Ramos	20110108	1	3578.27	63e03d3269
310	GBP	Phillip	Sai	20110108	1	3578.27	63e03d3269
312	AUD	Cory	Arun	20110108	1	3578.27	63e03d3269
310	USD	Jeremiah	Mar,inez	20110109	1	3578.27	63e03d3269
314	GBP	Tamara	Lal	20110109	1	3578.27	63e03d3269
347	AUD	Marco	Meh,a	20110109	1	3399.99	63e03d3269
313	AUD	Haley	Ward	20110109	1	3578.27	63e03d3269
311	AUD	Manuel	Fernandez	20110110	1	3578.27	63e03d3269
312	AUD	Kelvin	Liang	20110110	1	3578.27	63e03d3269
314	USD	Chris,ian	Jackson	20110111	1	3578.27	63e03d3269
